originregion_id,originregion_name,destinationregion_id,destinationregion_name,regionflow_2000_,regionflow_2002_,regionflow_2004_,regionflow_2006_,regionflow_2008_,regionflow_2010_,xxx,origin_iso,origin_name,destination_iso,destination_name,countryflow_2000,countryflow_2002,countryflow_2004,countryflow_2006,countryflow_2008,countryflow_2010,origin_show,destination_show
1,Nord,1,Nord,290532,290261,285487,268759,258607,277997,,3,Braunschweig,3,Braunschweig,0,0,0,0,0,0,1,1
1,Nord,1,Nord,290532,290261,285487,268759,258607,277997,,3,Braunschweig,4,Bremen,92,101,113,108,142,142,1,1
1,Nord,1,Nord,290532,290261,285487,268759,258607,277997,,3,Braunschweig,13,Emsland,76,65,67,47,24,47,1,1
1,Nord,1,Nord,290532,290261,285487,268759,258607,277997,,3,Braunschweig,18,Göttingen,40,40,38,42,42,36,1,1
1,Nord,1,Nord,290532,290261,285487,268759,258607,277997,,3,Braunschweig,20,Hamburg,331,267,274,365,322,330,1,1
1,Nord,1,Nord,290532,290261,285487,268759,258607,277997,,3,Braunschweig,22,Harburg,94,111,36,28,29,45,1,1
1,Nord,1,Nord,290532,290261,285487,268759,258607,277997,,3,Braunschweig,24,Herzogtum Lauenburg,17,13,6,13,6,11,1,1
1,Nord,1,Nord,290532,290261,285487,268759,258607,277997,,3,Braunschweig,25,Hildesheim,265,258,188,168,163,194,1,1
1,Nord,1,Nord,290532,290261,285487,268759,258607,277997,,3,Braunschweig,27,Kiel,31,37,55,58,48,31,1,1
1,Nord,1,Nord,290532,290261,285487,268759,258607,277997,,3,Braunschweig,29,Lübeck,35,30,33,27,26,30,1,1
1,Nord,1,Nord,290532,290261,285487,268759,258607,277997,,3,Braunschweig,31,Lüneburg,90,129,58,48,60,63,1,1
1,Nord,1,Nord,290532,290261,285487,268759,258607,277997,,3,Braunschweig,36,Oldenburg,56,40,37,45,41,44,1,1
1,Nord,1,Nord,290532,290261,285487,268759,258607,277997,,3,Braunschweig,39,Osnabrück,130,126,322,33,98,227,1,1
1,Nord,1,Nord,290532,290261,285487,268759,258607,277997,,3,Braunschweig,42,Ostholstein,30,22,16,14,18,22,1,1
1,Nord,1,Nord,290532,290261,285487,268759,258607,277997,,3,Braunschweig,44,Pinneberg,23,25,28,15,21,28,1,1
1,Nord,1,Nord,290532,290261,285487,268759,258607,277997,,3,Braunschweig,46,Region Hannover,773,732,673,650,712,815,1,1
1,Nord,1,Nord,290532,290261,285487,268759,258607,277997,,3,Braunschweig,47,Rendsburg-Eckernförde,19,16,12,27,12,18,1,1
1,Nord,1,Nord,290532,290261,285487,268759,258607,277997,,3,Braunschweig,51,Schleswig-Flensburg,17,21,24,10,12,8,1,1
1,Nord,1,Nord,290532,290261,285487,268759,258607,277997,,3,Braunschweig,52,Segeberg,12,15,9,11,11,31,1,1
1,Nord,1,Nord,290532,290261,285487,268759,258607,277997,,3,Braunschweig,56,Stormarn,23,8,15,15,15,8,1,1
1,Nord,2,Nord Ost,25323,25117,24412,24678,22518,27203,,3,Braunschweig,65,Barnim,4,2,0,8,6,7,1,1
1,Nord,2,Nord Ost,25323,25117,24412,24678,22518,27203,,3,Braunschweig,66,Berlin,388,368,312,400,420,450,1,1
1,Nord,2,Nord Ost,25323,25117,24412,24678,22518,27203,,3,Braunschweig,72,Ludwigslust-Parchim,7,10,5,4,13,4,1,1
1,Nord,2,Nord Ost,25323,25117,24412,24678,22518,27203,,3,Braunschweig,73,Märkisch-Oderland,7,5,5,7,14,11,1,1
1,Nord,2,Nord Ost,25323,25117,24412,24678,22518,27203,,3,Braunschweig,74,Mecklenb.,7,2,5,8,6,3,1,1
1,Nord,2,Nord Ost,25323,25117,24412,24678,22518,27203,,3,Braunschweig,76,Oberhavel,3,9,5,10,8,1,1,1
1,Nord,2,Nord Ost,25323,25117,24412,24678,22518,27203,,3,Braunschweig,80,Potsdam-Mittelmark,24,15,28,25,35,32,1,1
1,Nord,2,Nord Ost,25323,25117,24412,24678,22518,27203,,3,Braunschweig,82,Rostock,12,6,7,16,9,15,1,1
1,Nord,2,Nord Ost,25323,25117,24412,24678,22518,27203,,3,Braunschweig,83,Rostock,15,1,8,4,12,4,1,1
1,Nord,2,Nord Ost,25323,25117,24412,24678,22518,27203,,3,Braunschweig,88,Vorpommern-Greifswald,5,10,13,12,13,13,1,1
1,Nord,3,Ost,15098,13269,13911,13695,13710,15072,,3,Braunschweig,92,Bautzen,2,2,3,5,3,10,1,1
1,Nord,3,Ost,15098,13269,13911,13695,13710,15072,,3,Braunschweig,95,Chemnitz,6,5,4,5,10,8,1,1
1,Nord,3,Ost,15098,13269,13911,13695,13710,15072,,3,Braunschweig,97,Dresden,31,42,36,34,26,46,1,1
1,Nord,3,Ost,15098,13269,13911,13695,13710,15072,,3,Braunschweig,100,Erfurt,0,6,8,9,14,18,1,1
1,Nord,3,Ost,15098,13269,13911,13695,13710,15072,,3,Braunschweig,106,Halle (Saale),21,18,23,20,20,34,1,1
1,Nord,3,Ost,15098,13269,13911,13695,13710,15072,,3,Braunschweig,111,Jerichower Land,25,26,34,22,12,18,1,1
1,Nord,3,Ost,15098,13269,13911,13695,13710,15072,,3,Braunschweig,113,Leipzig,38,31,59,37,65,66,1,1
